idCountry,Fecha,Hora,Distancia,Estado,Latitud,Longitud,Magnitud,Profundidad
3,1970-02-03,23:08:50,141 km al SUR de SAN MARCOS, GRO,15.524,-99.493,6.6,21.0
3,1970-04-29,08:01:34,62 km al SUROESTE de CD HIDALGO, CHIS,14.463,-92.683,7.3,44.0
3,1970-04-30,02:32:58,100 km al SUROESTE de MAPASTEPEC, CHIS,14.608,-93.26,6.5,22.0
3,1971-09-30,02:18:00,92 km al SUROESTE de PUEBLO YAQUI, SON,26.88,-110.8,6.5,14.0
3,1972-10-20,02:17:46,238 km al OESTE de CIHUATLAN, JAL,18.7,-106.756,6.6,10.0
3,1972-11-12,22:43:45,73 km al SUR de SALINA CRUZ, OAX,15.541,-95.04,6.5,14.0
3,1973-01-30,15:01:12,43 km al SURESTE de COALCOMAN, MICH,18.412,-103.019,7.6,24.0
3,1973-08-28,03:50:41,30 km al SUROESTE de TIERRA BLANCA, VER,18.248,-96.551,7.3,82.0
3,1974-01-03,19:33:19,317 km al SUROESTE de PUERTO VALLARTA, JAL,19.54,-108.04,4.3,33.0
3,1974-01-04,11:54:57,144 km al SUROESTE de MAPASTEPEC, CHIS,14.49,-93.8,4.8,51.0
3,1974-01-05,06:38:25,88 km al SUROESTE de CD HIDALGO, CHIS,13.96,-92.51,4.3,33.0
3,1974-01-11,22:47:59,172 km al SURESTE de CD HIDALGO, CHIS,13.65,-90.96,4.4,64.0
3,1974-01-17,05:16:02,450 km al SURESTE de CD HIDALGO, CHIS,13.21,-88.26,4.6,103.0
3,1974-01-20,01:46:24,63 km al SURESTE de SALINA CRUZ, OAX,15.92,-94.67,4.5,54.0
3,1974-01-21,16:48:52,102 km al SUROESTE de MAPASTEPEC, CHIS,14.85,-93.62,5.0,33.0
3,1974-01-25,23:35:33,63 km al SUROESTE de COALCOMAN, MICH,18.26,-103.41,5.1,33.0
3,1974-01-31,19:37:09,12 km al OESTE de GPE VICTORIA(KM.43), BC,32.3,-115.23,4.1,8.0
3,1974-02-02,01:07:40,69 km al SURESTE de CD HIDALGO, CHIS,14.08,-91.96,5.1,75.0
3,1974-02-02,02:29:03,28 km al NOROESTE de SAN MARCOS, GRO,17.04,-99.46,4.6,75.0
3,1974-02-08,11:19:59,119 km al SUROESTE de H CABORCA, SON,30.26,-113.28,4.4,33.0
3,1974-02-09,12:36:07,35 km al SUROESTE de HUIXTLA, CHIS,14.97,-92.74,4.8,109.0
3,1974-02-23,00:02:53,30 km al SUR de PINOTEPA NACIONAL, OAX,16.08,-98.12,5.1,33.0
3,1974-02-23,00:21:34,80 km al SUROESTE de PINOTEPA NACIONAL, OAX,15.65,-98.28,5.3,33.0
3,1974-03-02,10:54:26,118 km al SURESTE de CD HIDALGO, CHIS,13.72,-91.68,4.6,43.0
3,1974-03-02,14:37:41,380 km al SUR de CABO SAN LUCAS, BCS,19.55,-109.05,4.4,33.0
3,1974-03-04,08:54:36,210 km al SURESTE de CD HIDALGO, CHIS,13.56,-90.58,4.5,89.0
3,1974-03-04,08:56:52,201 km al SURESTE de CD HIDALGO, CHIS,13.65,-90.62,4.6,79.0
3,1974-03-05,09:10:24,215 km al SURESTE de CD HIDALGO, CHIS,13.21,-90.85,4.3,87.0
3,1974-03-06,08:14:26,72 km al SURESTE de SALINA CRUZ, OAX,15.7,-94.75,4.3,45.0
3,1974-03-07,14:11:50,71 km al NORESTE de CD HIDALGO, CHIS,14.86,-91.52,4.5,121.0
3,1974-03-13,05:35:50,286 km al SURESTE de CD HIDALGO, CHIS,13.15,-90.01,4.9,85.0
3,1974-03-21,03:32:26,229 km al SUROESTE de MANZANILLO, COL,17.36,-105.57,4.4,33.0
3,1974-03-21,16:01:13,238 km al SURESTE de CD HIDALGO, CHIS,13.89,-90.1,4.3,99.0
3,1974-03-23,11:36:47,111 km al SUR de PUERTO PEÑASCO, SON,30.35,-113.83,4.3,33.0
3,1974-03-25,01:37:12,75 km al SUR de COALCOMAN, MICH,18.1,-103.24,4.7,87.0
3,1974-03-28,06:37:56,214 km al SUROESTE de CIHUATLAN, JAL,17.75,-105.86,4.4,33.0
3,1974-04-02,14:12:21,239 km al SURESTE de CD HIDALGO, CHIS,13.56,-90.26,4.6,91.0
3,1974-04-10,05:25:36,12 km al SURESTE de MINATITLAN, VER,17.91,-94.48,4.2,138.0
3,1974-04-10,16:43:00,58 km al SURESTE de CD HIDALGO, CHIS,14.53,-91.63,5.4,108.0
3,1974-04-14,00:55:01,91 km al ESTE de CD HIDALGO, CHIS,14.71,-91.31,5.3,138.0
3,1974-04-14,05:37:28,365 km al SUR de CABO SAN LUCAS, BCS,19.64,-109.31,4.3,33.0
3,1974-04-14,08:03:53,333 km al SURESTE de CABO SAN LUCAS, BCS,20.0,-109.02,4.3,33.0
3,1974-04-15,16:10:26,379 km al SUR de CABO SAN LUCAS, BCS,19.51,-109.31,4.8,33.0
3,1974-04-15,23:09:14,20 km al SUROESTE de TONALA, CHIS,15.99,-93.91,4.3,122.0
3,1974-04-20,01:41:20,298 km al SURESTE de CD HIDALGO, CHIS,13.01,-89.99,4.7,23.0
3,1974-04-22,03:19:58,171 km al SUROESTE de H CABORCA, SON,29.54,-113.31,4.4,33.0
3,1974-04-23,05:41:40,52 km al ESTE de CACAHOATAN, CHIS,15.02,-91.68,4.8,180.0
3,1974-05-01,21:12:54,182 km al SURESTE de CD HIDALGO, CHIS,13.86,-90.69,4.7,76.0
3,1974-05-01,21:51:50,197 km al SURESTE de CD HIDALGO, CHIS,13.85,-90.53,4.6,65.0
3,1974-05-03,01:56:37,90 km al SUR de CD HIDALGO, CHIS,13.88,-92.29,4.7,53.0
3,1974-05-03,19:58:32,97 km al SUROESTE de PIJIJIAPAN, CHIS,15.09,-93.87,4.9,33.0
3,1974-05-04,11:49:28,193 km al SURESTE de CD HIDALGO, CHIS,13.9,-90.55,4.5,115.0
3,1974-05-05,23:39:47,91 km al SUROESTE de PIJIJIAPAN, CHIS,15.0,-93.67,4.5,33.0
3,1974-05-11,07:10:17,72 km al SURESTE de TLACOLULA, OAX,16.59,-95.92,4.3,61.0
3,1974-05-24,05:33:05,389 km al SUROESTE de LA MIRA, MICH,15.47,-104.83,4.3,33.0
3,1974-05-26,23:01:15,12 km al NORESTE de TLAPA, GRO,17.65,-98.53,5.3,50.0
3,1974-05-29,21:30:42,421 km al SUROESTE de CD DE ARMERIA, COL,15.37,-105.35,4.3,33.0
3,1974-05-31,08:04:59,83 km al SUROESTE de H GUAYMAS, SON,27.23,-111.24,6.3,33.0
3,1974-06-01,12:17:20,85 km al SUROESTE de H GUAYMAS, SON,27.23,-111.29,4.3,33.0
3,1974-06-06,03:45:27,123 km al SUROESTE de TONALA, CHIS,15.07,-94.23,4.2,33.0
3,1974-06-12,07:46:41,23 km al ESTE de SAN MARCOS, GRO,16.83,-99.18,5.1,49.0
3,1974-06-12,22:47:20,10 km al NORESTE de PINOTEPA NACIONAL, OAX,16.38,-97.97,4.6,58.0
3,1974-06-13,05:57:17,52 km al ESTE de OMETEPEC, GRO,16.8,-97.93,5.0,96.0
3,1974-06-14,09:20:10,34 km al SUR de TEPALCATEPEC, MICH,18.88,-102.84,4.1,152.0
3,1974-06-20,01:44:46,51 km al SUROESTE de TLAPA, GRO,17.17,-98.86,5.1,33.0
3,1974-06-21,09:29:15,240 km al ESTE de CD HIDALGO, CHIS,14.18,-89.98,4.2,65.0
3,1974-06-22,21:58:23,31 km al ESTE de CHILAPA DE ALVAREZ, GRO,17.53,-98.89,4.6,15.0
3,1974-06-24,23:00:58,85 km al SUR de SALINA CRUZ, OAX,15.42,-95.3,5.3,25.0
3,1974-06-25,02:44:45,80 km al SURESTE de CRUCECITA, OAX,15.44,-95.47,5.6,30.0
3,1974-06-25,03:09:08,13 km al NOROESTE de CD IXTEPEC, OAX,16.67,-95.14,4.5,33.0
3,1974-06-25,03:51:37,63 km al SUR de SALINA CRUZ, OAX,15.62,-95.26,4.8,33.0
3,1974-07-01,15:17:46,16 km al NORESTE de LAS GUACAMAYAS, MICH,18.1,-102.09,4.2,33.0
3,1974-07-04,16:27:48,42 km al SUROESTE de CD ALTAMIRANO, GRO,18.03,-100.86,4.6,33.0
3,1974-07-15,22:30:21,144 km al NORESTE de GUERRERO NEGRO, BCS,28.91,-113.06,4.6,33.0
3,1974-07-17,23:01:19,61 km al OESTE de HUETAMO, MICH,18.63,-101.48,4.0,33.0
3,1974-07-18,13:21:23,23 km al NOROESTE de OMETEPEC, GRO,16.78,-98.6,5.6,33.0
3,1974-07-19,14:40:29,74 km al SUROESTE de CD HIDALGO, CHIS,14.07,-92.44,4.5,59.0
3,1974-07-21,02:28:35,50 km al SUROESTE de CD HIDALGO, CHIS,14.29,-92.39,5.3,70.0
3,1974-07-21,05:43:52,44 km al SUR de CD HIDALGO, CHIS,14.29,-92.25,4.8,33.0
3,1974-07-23,09:28:34,12 km al ESTE de EL GRULLO, JAL,19.81,-104.1,4.9,109.0
3,1974-07-25,03:53:38,4 km al SURESTE de SOLEDAD DE DOBLADO, VER,19.03,-96.38,4.5,76.0
3,1974-07-27,05:44:51,86 km al SUROESTE de H GUAYMAS, SON,27.23,-111.31,4.3,33.0
3,1974-07-27,19:03:02,4 km al NORESTE de PETATLAN, GRO,17.57,-101.25,4.2,33.0
3,1974-07-28,02:00:12,13 km al NOROESTE de PETATLAN, GRO,17.57,-101.39,4.5,33.0
3,1974-08-12,15:27:18,31 km al NORESTE de ATOYAC DE ALVAREZ, GRO,17.45,-100.29,5.1,73.0
3,1974-08-18,05:59:41,175 km al SURESTE de SAN JOSE DEL CABO, BCS,22.02,-108.43,4.8,49.0
3,1974-08-19,09:11:23,97 km al SUROESTE de MAPASTEPEC, CHIS,14.85,-93.56,4.4,67.0
3,1974-08-26,00:27:40,108 km al SURESTE de LAS MARGARITAS, CHIS,15.95,-91.04,5.1,33.0
3,1974-09-01,07:49:38,382 km al SURESTE de CD HIDALGO, CHIS,13.3,-88.91,4.9,111.0
3,1974-09-02,16:04:31,224 km al SURESTE de CD HIDALGO, CHIS,13.18,-90.75,4.6,41.0
3,1974-09-03,06:46:54,137 km al SUROESTE de CD HIDALGO, CHIS,14.18,-93.32,4.3,33.0
3,1974-09-05,03:55:32,49 km al SURESTE de OCOSINGO, CHIS,16.7,-91.69,4.6,33.0
3,1974-09-07,08:24:42,10 km al SURESTE de ACAPULCO, GRO,16.79,-99.85,4.3,33.0
3,1974-09-12,14:14:37,274 km al SURESTE de CD HIDALGO, CHIS,13.56,-89.89,5.0,85.0
3,1974-09-12,23:24:25,21 km al OESTE de SANTA ROSALIA, BCS,27.38,-112.47,4.6,33.0
3,1974-09-20,05:33:26,64 km al NOROESTE de PARAISO, TAB,18.91,-93.49,4.1,45.0
3,1974-09-20,05:59:43,152 km al SURESTE de CD HIDALGO, CHIS,13.78,-91.09,5.0,33.0
3,1974-09-25,11:13:59,110 km al SUR de SALINA CRUZ, OAX,15.19,-95.24,4.5,42.0
3,1974-10-06,11:09:33,20 km al SUR de ACAPULCO, GRO,16.69,-99.89,5.5,50.0
3,1974-10-10,07:08:29,42 km al SUROESTE de SAN MARCOS, GRO,16.51,-99.65,4.8,33.0
3,1974-10-11,23:32:39,78 km al ESTE de CD HIDALGO, CHIS,14.52,-91.45,4.1,105.0
3,1974-10-16,20:13:06,67 km al NORESTE de LORETO, BCS,26.5,-110.94,4.6,46.0
3,1974-10-17,13:54:50,123 km al SURESTE de CD HIDALGO, CHIS,14.37,-91.05,4.4,160.0
3,1974-10-17,17:09:19,159 km al SUROESTE de CD HIDALGO, CHIS,13.58,-93.1,4.6,20.0
3,1974-10-23,07:36:51,168 km al ESTE de CD HIDALGO, CHIS,14.69,-90.59,4.6,231.0
3,1974-10-24,18:05:34,34 km al NOROESTE de PIJIJIAPAN, CHIS,15.84,-93.48,6.0,100.0
3,1974-10-29,18:03:08,6 km al NORTE de IGUALA, GRO,18.4,-99.54,4.6,81.0
3,1974-11-11,23:03:49,203 km al SURESTE de CD HIDALGO, CHIS,13.05,-91.29,4.3,33.0
3,1974-11-12,08:33:07,25 km al SUROESTE de CD ALTAMIRANO, GRO,18.27,-100.89,4.3,146.0
3,1974-11-17,16:57:40,11 km al SUROESTE de COYUCA DE BENITEZ, GRO,16.92,-100.14,5.1,33.0
3,1974-11-17,18:27:29,61 km al SUROESTE de ACAPULCO, GRO,16.42,-100.23,4.7,33.0
3,1974-11-22,10:25:49,42 km al NOROESTE de SAN FELIPE, BC,31.18,-115.24,4.9,33.0
3,1974-11-23,12:03:16,28 km al SURESTE de OCOTLAN DE MORELOS, OAX,16.67,-96.45,4.3,66.0
3,1974-11-25,21:05:55,17 km al SUR de CHILAPA DE ALVAREZ, GRO,17.45,-99.16,4.3,82.0
3,1974-11-27,15:37:59,47 km al ESTE de MATIAS ROMERO, OAX,16.87,-94.6,4.7,49.0
3,1974-12-02,06:36:44,69 km al ESTE de CD HIDALGO, CHIS,14.63,-91.51,5.2,97.0
3,1974-12-06,06:13:08,9 km al NORESTE de MEXICALI, BC,32.72,-115.4,4.8,15.0
3,1974-12-17,09:31:16,430 km al SURESTE de CD HIDALGO, CHIS,13.19,-88.47,5.3,50.0
3,1974-12-18,05:33:17,61 km al SUROESTE de TONALA, CHIS,15.74,-94.2,4.7,33.0
3,1974-12-23,20:10:25,228 km al ESTE de CD HIDALGO, CHIS,14.26,-90.08,5.4,155.0
3,1974-12-26,11:50:16,18 km al OESTE de PINOTEPA NACIONAL, OAX,16.35,-98.22,4.6,77.0
3,1974-12-28,17:18:38,17 km al NOROESTE de VICENTE GUERRERO, BC,30.86,-116.08,4.7,33.0
3,1974-12-28,17:49:51,119 km al ESTE de CACAHOATAN, CHIS,14.97,-91.06,4.6,186.0
3,1974-12-29,06:07:01,19 km al OESTE de VICENTE GUERRERO, BC,30.76,-116.18,4.2,33.0
3,1974-12-30,07:12:15,46 km al OESTE de LAZARO CARDENAS, BC,30.42,-116.4,4.0,33.0
3,1974-12-31,14:15:32,64 km al SURESTE de CD HIDALGO, CHIS,14.15,-91.92,5.4,75.0
3,1974-12-31,14:21:09,70 km al SURESTE de CD HIDALGO, CHIS,14.13,-91.82,6.1,39.0
3,1974-12-31,15:56:10,58 km al SURESTE de CD HIDALGO, CHIS,14.2,-91.94,4.9,75.0
3,1974-12-31,20:12:44,156 km al SURESTE de CD HIDALGO, CHIS,13.36,-91.65,4.3,33.0
3,1975-01-01,05:54:29,169 km al SUR de CD HIDALGO, CHIS,13.17,-91.91,4.0,33.0
3,1975-01-01,16:52:36,55 km al SUR de CD HIDALGO, CHIS,14.18,-92.19,5.0,80.0
3,1975-01-01,17:41:22,61 km al SURESTE de CD HIDALGO, CHIS,14.22,-91.84,4.4,108.0
3,1975-01-03,22:30:14,39 km al NOROESTE de LA MIRA, MICH,18.29,-102.59,4.9,47.0
3,1975-01-07,15:10:08,77 km al SUROESTE de TONALA, CHIS,15.46,-94.06,4.5,33.0
3,1975-01-09,00:12:47,77 km al SUR de CD HIDALGO, CHIS,14.0,-92.0,4.6,56.0
3,1975-01-09,09:20:26,162 km al SUR de CD HIDALGO, CHIS,13.23,-91.93,4.4,33.0
3,1975-01-11,12:07:44,77 km al ESTE de CD HIDALGO, CHIS,14.54,-91.45,4.6,104.0
3,1975-01-12,15:22:14,92 km al NOROESTE de TIJUANA, BC,32.8,-117.97,5.1,8.0
3,1975-01-20,18:36:11,31 km al SUR de CD HIDALGO, CHIS,14.4,-92.1,4.4,106.0
3,1975-01-23,06:30:16,30 km al NORTE de MEXICALI, BC,32.93,-115.48,4.3,10.0
3,1975-01-23,06:42:52,28 km al NORTE de MEXICALI, BC,32.92,-115.48,4.2,8.0
3,1975-01-23,06:55:48,30 km al NORTE de MEXICALI, BC,32.93,-115.48,4.6,4.0
3,1975-01-23,07:02:07,30 km al NORTE de MEXICALI, BC,32.93,-115.48,4.3,5.0
3,1975-01-23,07:47:19,30 km al NORTE de MEXICALI, BC,32.93,-115.48,4.2,5.0
3,1975-01-23,08:15:39,29 km al NORTE de MEXICALI, BC,32.92,-115.43,4.3,5.0
3,1975-01-23,08:49:09,32 km al NORTE de MEXICALI, BC,32.95,-115.48,4.0,4.0
3,1975-01-23,09:14:06,55 km al NOROESTE de SANTA ISABEL, BC,32.98,-116.0,4.0,8.0
3,1975-01-23,09:45:40,31 km al NORTE de MEXICALI, BC,32.94,-115.48,4.5,5.0
3,1975-01-23,11:02:29,33 km al NORTE de MEXICALI, BC,32.96,-115.49,4.9,8.0
3,1975-01-23,15:45:16,26 km al NORTE de MEXICALI, BC,32.9,-115.48,4.0,5.0
3,1975-01-23,16:21:04,37 km al NORTE de MEXICALI, BC,33.0,-115.5,4.0,10.0
3,1975-01-24,00:45:52,26 km al NORTE de MEXICALI, BC,32.9,-115.49,4.0,4.0
3,1975-01-25,08:31:01,32 km al NORTE de MEXICALI, BC,32.95,-115.5,4.6,6.0
3,1975-01-25,12:02:08,32 km al NORTE de MEXICALI, BC,32.95,-115.5,4.1,9.0
3,1975-01-25,21:41:56,34 km al NORTE de MEXICALI, BC,32.97,-115.51,4.2,13.0
3,1975-01-31,10:14:31,392 km al SUROESTE de LA MIRA, MICH,15.37,-104.75,5.1,44.0
